UDISE Code,School Name,District,Block,State,Management,Category,PIN Code
09451012204,ADHYA PRASAD INTER COLLEGE GHOOSH,PRAYAGRAJ,JAMUWA,Uttar Pradesh,Government Aided,Upper Pri. Secondary and Higher Sec,212306
09451012203,SOHGOURA P.S. DHOOSH,PRAYAGRAJ,JAMUWA,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451004103,ADHAYA PRASAD INTER COLLEGE,PRAYAGRAJ,DEWGHAT,Uttar Pradesh,Private Unaided (Recognized),Upper Primary only,212306
09451017501,P.V. BANS GHAT,PRAYAGRAJ,BANS GHAT,Uttar Pradesh,Department of Education,Primary,212306
09451008103,P.S. SHIV PUR,PRAYAGRAJ,CHARGARA,Uttar Pradesh,Department of Education,Primary,212306
09451004106,COMPOSITE SCHOOL BAITHAKAWA,PRAYAGRAJ,DEWGHAT,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451003802,HARIJAN AAVAM AADIVASI,PRAYAGRAJ,BAITHAKAWA,Uttar Pradesh,Tribal Welfare Department,Primary,212306
09451004104,VIJAY BAL SHISHU MANDIR,PRAYAGRAJ,DEWGHAT,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451004105,P.S. NAI BASTI,PRAYAGRAJ,DEWGHAT,Uttar Pradesh,Department of Education,Primary,212306
09451015401,P.S. KHETARPALIYA,PRAYAGRAJ,KHETARPALIYA,Uttar Pradesh,Department of Education,Primary,212306
09451006104,S S SINGH CONVENT P S,PRAYAGRAJ,GADHA,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451006102,GADHA JHS SAMITI GADHA,PRAYAGRAJ,GADHA,Uttar Pradesh,Private Unaided (Recognized),Upper Pri. and Secondary,212306
09451006103,MAA LAKHWANTI DEVI PATEL I.C. GAADHA,PRAYAGRAJ,GADHA,Uttar Pradesh,Private Unaided (Recognized),Upper Pri. Secondary and Higher Sec,212306
09451006101,PS GADHA,PRAYAGRAJ,GADHA,Uttar Pradesh,Department of Education,Primary,212306
09451000802,UPS BAROKHAR,PRAYAGRAJ,BAROKHARA,Uttar Pradesh,Department of Education,Upper Primary only,212306
09451005001,PS CHIRANWA,PRAYAGRAJ,CHIRANWA,Uttar Pradesh,Department of Education,Primary,212306
09451008801,PS RAJ PUR,PRAYAGRAJ,RAJ PUR,Uttar Pradesh,Department of Education,Primary,212306
09451018702,U.P.S ETARIHAN,PRAYAGRAJ,ETARIHAN,Uttar Pradesh,Department of Education,Upper Primary only,212307
09451013605,P.S. SEWAI,PRAYAGRAJ,BAROKHAR,Uttar Pradesh,Department of Education,Primary,212306
09451013604,P.S. BHURTIYAN,PRAYAGRAJ,BAROKHAR,Uttar Pradesh,Department of Education,Primary,212306
09451013601,KRISHAK I.C. BADOKHAR,PRAYAGRAJ,BAROKHAR,Uttar Pradesh,Private Unaided (Recognized),Secondary with Higher Secondary,212306
09451013603,SHABARI BALIKA P S,PRAYAGRAJ,BAROKHAR,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,212306
09451013606,MAHARSHI PADINI SANSKRIT U.M.V.,PRAYAGRAJ,BAROKHAR,Uttar Pradesh,Private Unaided (Recognized),Upper Pri. Secondary and Higher Sec,212306
09451013602,P.S. BAROKHAR,PRAYAGRAJ,BAROKHAR,Uttar Pradesh,Department of Education,Primary,212306
09451007904,HANUMAN PRASAD I.C. RAMPUR KALA,PRAYAGRAJ,RAM PUR KALA,Uttar Pradesh,Private Unaided (Recognized),Upper Pri. Secondary and Higher Sec,212306
09451013803,AADIVASI SEVA SAMITI P S,PRAYAGRAJ,PATEHARI,Uttar Pradesh,Tribal Welfare Department,Primary,212306
09451008102,COMPOSITE SCHOOL CHHARGARA,PRAYAGRAJ,CHARGARA,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451508602,SHRI DHARAN DEV MEMORIAL SCHOOL,PRAYAGRAJ,FAREESD PUR,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,221508
09451005801,PS HARDIHA,PRAYAGRAJ,HARDIHA,Uttar Pradesh,Department of Education,Primary,212306
09451011301,P.S. MOTHAHA,PRAYAGRAJ,MOTHAHA,Uttar Pradesh,Department of Education,Primary,212306
09451001202,COMPOSITE SCHOOL BARAUNHA,PRAYAGRAJ,BAROUNHA,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451008601,PS GOHANI,PRAYAGRAJ,GOHANI,Uttar Pradesh,Department of Education,Primary,212306
09451003602,PS AMILIYA PAL,PRAYAGRAJ,AMILIYA PAL,Uttar Pradesh,Department of Education,Primary,212306
09451015003,P.S. NATAWA KA POORA,PRAYAGRAJ,MADFA KALA,Uttar Pradesh,Department of Education,Primary,212306
09451015002,RAM AWADHESH SINGH P.S.,PRAYAGRAJ,MADFA KALA,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451007902,COMPOSITE SCHOOL RAMPUR KALA,PRAYAGRAJ,RAM PUR KALA,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451018401,P.S. DADAR,PRAYAGRAJ,DADAR,Uttar Pradesh,Department of Education,Primary,212306
09451008501,PS GHUGHA,PRAYAGRAJ,GHUGHA,Uttar Pradesh,Department of Education,Primary,212306
09451006202,CH. JAGDEV SINGH INTER COLLEGE,PRAYAGRAJ,NATHAUPUR,Uttar Pradesh,Private Unaided (Recognized),Pri. with Upper Pri. Sec. and H.Sec.,212306
09451006201,PS NATHAU PUR,PRAYAGRAJ,NATHAUPUR,Uttar Pradesh,Department of Education,Primary,212306
09451006203,JYOTI PUBLIC P.S.,PRAYAGRAJ,NATHAUPUR,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451005702,COMPOSITE SCHOOL LOUVA KON,PRAYAGRAJ,LOYA KONA,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451013701,P.S. BANSH (LAKHAN PUR),PRAYAGRAJ,LAKHAN PUR.,Uttar Pradesh,Department of Education,Primary,212306
09451011902,COMPOSITE SCHOOL SIPOUWA,PRAYAGRAJ,SIPOUWA,Uttar Pradesh,Department of Education,Primary with Upper Primary,212037
09451005501,PS KAPASI,PRAYAGRAJ,KAPASI,Uttar Pradesh,Department of Education,Primary,212306
09451011003,U.P.S. KUNDI,PRAYAGRAJ,KOUNDI,Uttar Pradesh,Department of Education,Upper Primary only,212306
09451008301,PS RAJA PUR,PRAYAGRAJ,RAJA PUR..,Uttar Pradesh,Department of Education,Primary,212306
09451011202,U.P.S. SALAIYA,PRAYAGRAJ,SALAIYA,Uttar Pradesh,Department of Education,Upper Primary only,212306
09451803502,PS KHAJURI 2,PRAYAGRAJ,KHAJURI,Uttar Pradesh,Department of Education,Primary,212301
09451015201,P.S. GOBARI,PRAYAGRAJ,GOBARI,Uttar Pradesh,Department of Education,Primary,212306
09451008002,COMPOSITE BARAHULA KALA,PRAYAGRAJ,BARHULLA KALA,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451005303,LOKMANI HIGH SCHOOL,PRAYAGRAJ,BHOGAN,Uttar Pradesh,Private Unaided (Recognized),Upper Pri. Secondary and Higher Sec,212306
09451005304,P.S. MALI PUR,PRAYAGRAJ,BHOGAN,Uttar Pradesh,Department of Education,Primary,212306
09451005301,PS BHOGAN,PRAYAGRAJ,BHOGAN,Uttar Pradesh,Department of Education,Primary,212306
09451004702,P.S. BITANI PUR,PRAYAGRAJ,KUKARAHATA,Uttar Pradesh,Department of Education,Primary,212306
09451004701,PS KUKARAHATA,PRAYAGRAJ,KUKARAHATA,Uttar Pradesh,Department of Education,Primary,212306
