UDISE Code,School Name,District,Block,State,Management,Category,PIN Code
09242100307,MADARSA   ALLAMA FAZLE HAQ KHAIRABADI  MEMORIAL GIRLS COLLEGE  KHAIRABAD,SITAPUR,WARD 20,Uttar Pradesh,Private Unaided (Recognized),Pri. Upper Pri. and Secondary Only,261131
09242101401,UPS Shekh Srain COMPOSITE (1TO8),SITAPUR,WARD 24,Uttar Pradesh,Department of Education,Primary with Upper Primary,261131
09242100309,P.S.A.S. JUNIOR HIGH SCHOOL NAGAR KHAIRABAD,SITAPUR,WARD 20,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,261131
09242100305,MADRSA  ALLAMA  FAZLE  HAQ  KHAIRABADI MEMORIAL KHAIRABAD SITAPUR,SITAPUR,WARD 20,Uttar Pradesh,Madarsa unrecognized,Pri. with Upper Pri. Sec. and H.Sec.,261131
09242100306,UPS Kanya Makhupur COMPOSITE (1TO8),SITAPUR,WARD 20,Uttar Pradesh,Department of Education,Primary with Upper Primary,261131
09242101402,P.S. SHEKHSARAI 1,SITAPUR,WARD 24,Uttar Pradesh,Department of Education,Primary,261131
09242100308,MADARSA   ALHUDA  PUBLIC  SCHOOL,SITAPUR,WARD 20,Uttar Pradesh,Private Unaided (Recognized),Primary,261131
09242100407,MADARSA IMTIYAJUL ULOOM SHEKHSARAI KHAIRABAD,SITAPUR,WARD 10,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242100411,MADARSA ISLAMIA UNITY PUBLIC SCHOOL KHAIRABAD SITAPUR,SITAPUR,WARD 10,Uttar Pradesh,Madarsa unrecognized,Primary,
09242100403,MADARSA CITY MODERN PUB.SCHOOL,SITAPUR,WARD 10,Uttar Pradesh,Madarsa unrecognized,Primary,261131
09242102001,VISHNU VIHAR VIDYA MANDIR SUDAMAPURI SITAPUR,SITAPUR,WARD 17,Uttar Pradesh,Private Unaided (Recognized),Primary,261131
09242100401,UPS KAMAAL SARAY COMPOSITE (1TO8),SITAPUR,WARD 10,Uttar Pradesh,Department of Education,Primary with Upper Primary,261131
09242101204,MADARSA ISHATUL ULOOM KHAIRABAD sitapur,SITAPUR,WARD 15,Uttar Pradesh,Madarsa unrecognized,Pri. Upper Pri. and Secondary Only,
09242100405,MADARSA SUN SHINE PUBLIC SCHOOL,SITAPUR,WARD 10,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242100409,MADARSA  RIFAH  MODERN PUBLIC SCHOOL KHAIRABAD,SITAPUR,WARD 10,Uttar Pradesh,Private Unaided (Recognized),Primary,261131
09242101501,MADARSA  FAZAL GRILS SCHOOL,SITAPUR,WARD 3,Uttar Pradesh,Private Unaided (Recognized),Pri. with Upper Pri. Sec. and H.Sec.,261131
09242102501,MADRASA SUFIYA MEMORIAL CONVENT SCHOOL SHEKH SARAIN,SITAPUR,WARD NO. 5,Uttar Pradesh,Private Unaided (Recognized),Primary,261001
09242100402,P.S. KAMAL SARAI -11,SITAPUR,WARD 10,Uttar Pradesh,Department of Education,Primary,261131
09242101203,MADARSA ISHATUL ULOOM KHAIRABAD,SITAPUR,WARD 15,Uttar Pradesh,Madarsa recognized (by Wakf board/Madarsa Board),Pri. Upper Pri. and Secondary Only,261001
09242100410,MADSRSA  ISLAMIA UNITY PUBLIC SCHOOL,SITAPUR,WARD 10,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,261131
09242100408,MADARSA  GRACE MODERN PUBLIC SCHOOL KHAIRABAD,SITAPUR,WARD 10,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,261001
09242101202,MADARSA ISLAMIA PUBLIC SCHOOL SHEKHSARAI,SITAPUR,WARD 15,Uttar Pradesh,Madarsa unrecognized,Primary,261131
09242101309,PUBLIC MONT. S.S.NIKETAN,SITAPUR,WARD 1,Uttar Pradesh,Private Unaided (Recognized),Primary,261131
09242102201,AULGULSHAN PUBLIC SCHOOL KHAIRABAD,SITAPUR,WARD 25,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,261001
09240805006,MADARSA SAIYADANA UBAI BIN KAAB SULTANPUR SHAHPUR,SITAPUR,SULTANPUR SHAHPUR,Uttar Pradesh,Private Unaided (Recognized),Primary,261135
